url,title,company,location,description
https://ph.linkedin.com/jobs/view/junior-front-end-web-developer-at-media-meter-inc-4169020706?position=1&pageNum=0&refId=3esTCxInju%2BC%2BDZ6Cp7Nyg%3D%3D&trackingId=4YHIUBvgwtg%2BLp9Prqm3Xw%3D%3D,Junior Front End Web Developer,Media Meter Inc.,Quezon City,"We are seeking a talented Junior Front End Web Developer with experience in WordPress and mobile app development to join our dynamic team. In this role, you will contribute to both web and mobile projects, working closely with senior developers to create responsive, user-friendly applications."
https://ph.linkedin.com/jobs/view/junior-front-end-developer-at-media-meter-inc-4088317248?position=2&pageNum=0&refId=3esTCxInju%2BC%2BDZ6Cp7Nyg%3D%3D&trackingId=%2BuYWTu1dT1RFaUka5aspEw%3D%3D,Junior Front End Developer,Media Meter Inc.,Quezon City,"At Talisik Labs, our focus lies on crafting tools powered by generative AI. In the past year alone, we've developed a suite of groundbreaking AI applications, exemplified by the Unified Salina App . This suite encompasses a chat-with-video app, a chat-with-PDF app, and an AI assistant with memory capabilities. You'll be a key player in building and refining web applications like the V4 application. The V4 application, comprising Media Watch, Shared View, and Ad Watch, operates in harmony to deliver comprehensive media monitoring and analytics solutions, making a global impact.

As we expand into the global market, we're seeking a passionate individual with a strong background in frontend technologies, a knack for problem-solving, and the ability to thrive in a collaborative environment."
https://ph.linkedin.com/jobs/view/front-end-developer-at-media-meter-inc-4109060680?position=3&pageNum=0&refId=3esTCxInju%2BC%2BDZ6Cp7Nyg%3D%3D&trackingId=GYM1FUk5oflkf%2BGV1WFDJA%3D%3D,Front End Developer,Media Meter Inc.,Quezon City,"At Talisik Labs, our focus lies on crafting tools powered by generative AI. In the past year alone, we've developed a suite of groundbreaking AI applications, exemplified by the Unified Salina App . This suite encompasses a chat-with-video app, a chat-with-PDF app, and an AI assistant with memory capabilities. You'll be a key player in building and refining web applications like the V4 application. The V4 application, comprising Media Watch, Shared View, and Ad Watch, operates in harmony to deliver comprehensive media monitoring and analytics solutions, making a global impact.

As we expand into the global market, we're seeking a passionate Front End Developer with a strong background in frontend technologies, a knack for problem-solving, and the ability to thrive in a collaborative environment."
https://ph.linkedin.com/jobs/view/junior-full-stack-software-developer-work-from-home-at-cast-lms-buri-technologies-inc-4310495161?position=4&pageNum=0&refId=3esTCxInju%2BC%2BDZ6Cp7Nyg%3D%3D&trackingId=YrvrOLbYp0gaBpPZsAcrhg%3D%3D,Junior Full Stack Software Developer | Work from Home,Cast LMS (Buri Technologies Inc),Quezon City,"Cast LMS (Buri Technologies, Inc.) is an e-learning development startup that focuses on helping companies transition into e-learning using our content creation service and proprietary learning management system.

Our team is one of the few development houses in the country that have won educational technology awards abroad. We are looking for individuals who seek challenges and aspire to change the Philippine e-learning landscape by helping organizations build their training materials for the future. We seek a Junior Full-Stack Software Developer to join our growing development team. The ideal candidate has a strong foundation in software development principles and a keen interest in building scalable web applications. You will work closely with our designers, senior developers, and product teams to deliver high-quality solutions that meet business needs. As part of the role, you will receive training and mentorship from experienced programmers to help you grow your technical skills and career.

We are a completely remote company but we have an office in Quezon City.



To help implement our two services that assist our customers build and design the future of learning for their companies:









Minimum Qualifications:"
https://ph.linkedin.com/jobs/view/frontend-developer-at-make-technology-inc-4095500416?position=5&pageNum=0&refId=3esTCxInju%2BC%2BDZ6Cp7Nyg%3D%3D&trackingId=Kd20GVpDjNa%2B%2Bk%2F5FokAHw%3D%3D,Frontend Developer,Make Technology Inc.,Makati,"LET’S WORK TOGETHER!

We’re looking for a Front-End Web Developer who is experienced in converting web designs into functional websites. Responsibilities will include, but not limited to, translation of the UI/UX design wireframes to actual code that will produce visual elements of the application. You will work closely with our awesome UI/UX designers and bridge the gap between graphical design and technical implementation."
https://ph.linkedin.com/jobs/view/full-stack-web-developer-part-time-freelance-remote-at-magic-4317821531?position=6&pageNum=0&refId=3esTCxInju%2BC%2BDZ6Cp7Nyg%3D%3D&trackingId=6%2BlX19QZIecj15rBzmKq4g%3D%3D,"Full-Stack Web Developer (part-time) - Freelance, Remote",Magic,Taguig,"Department: Support & Leadership
Location: Philippines
Compensation: $6.00 / hour




A U.S.-based leader in home inspector training, certification, and business enablement is building a modern, AI-enabled web platform to elevate inspection quality and efficiency. They help aspiring and practicing inspectors launch and grow their businesses with flexible courses, exam prep, and ongoing support. The team is now investing in software that streamlines inspections, ensures compliance, and seamlessly connects issues found to qualified contractors.


The client needs a custom student portal that integrates tightly with GoHighLevel, enabling students to manage schedules, attendance, payments, cancellations, and policy waivers in one place. This role exists to translate the vision into a secure, scalable, and user-friendly SaaS front end while leveraging GHL as the operational backbone. The hire will lead the initial project build with the potential for ongoing enhancements post-launch."
https://ph.linkedin.com/jobs/view/frontend-developer-at-webcast-technologies-inc-4298292332?position=7&pageNum=0&refId=3esTCxInju%2BC%2BDZ6Cp7Nyg%3D%3D&trackingId=FeJzJvUxUZ0JjtoDKcv7CQ%3D%3D,Frontend Developer,Webcast Technologies Inc.,Quezon City,"Write software codes - code new features and enhance existing software and website products of the company.
Document software/website development and enhancements."
https://ph.linkedin.com/jobs/view/front-end-developer-at-hungry-workhorse-4312062034?position=8&pageNum=0&refId=3esTCxInju%2BC%2BDZ6Cp7Nyg%3D%3D&trackingId=Ii9TgkZwY7OJQV%2Fe0Soc0A%3D%3D,Front-end Developer,Hungry Workhorse,Muntinlupa City,"Services
About Us
Careers


Front-end Developer

Back to Careers

Role Overview



We are seeking a skilled and creative Front-end Developer to help build intuitive, responsive, and visually engaging user interfaces. In this role, you will work closely with cross-functional teams to transform ideas into seamless digital experiences, with a strong focus on performance, accessibility, and cross-platform compatibility.



Design, develop, and maintain user interfaces that are visually appealing, intuitive, and responsive.

Build reusable components and front-end libraries for future use.

Ensure high performance, high quality, and scalability of UI applications.

Collaborate with backend developers to integrate RESTful APIs and ensure seamless data flows.

Continuously stay up to date with the latest front-end technologies and industry trends to maintain best practices.

Debug and troubleshoot UI issues, ensuring a smooth user experience across browsers and devices.

Work closely with UX/UI designers to translate wireframes and designs into high-quality code.

Optimize components for maximum performance across a vast array of web-capable devices and browsers.

Participate in code reviews to maintain high code quality standards.



3+ years of experience in front-end development using React.js, Vue.js, and JavaScript.

Strong proficiency in HTML5, CSS3, and modern front-end build pipelines and tools such as Webpack, Babel, etc.

Experience with Node.js and integrating front-end code with RESTful services.

Solid understanding of cross-browser compatibility issues and ways to work around them.

Experience with state management libraries like Redux or Vuex.

Proficient understanding of code versioning tools such as Git.

Knowledge of UI/UX best practices and the ability to collaborate with designers to implement their vision.

Familiarity with responsive design principles and frameworks like Bootstrap or Tailwind CSS.

Exposure to Continuous Integration/Delivery pipelines (Jenkins, Docker, etc.).

Knowledge of testing frameworks such as Jest, Mocha, or Cypress is a plus.



Bachelor’s degree in Computer Science or equivalent experience.

Proficient in JavaScript, React.js, Vue.js, and Node.js.

Strong understanding of CSS frameworks and preprocessors like SASS or LESS.

Concrete examples of successful web applications or UI components built.

A mix of technical and communication skills to collaborate effectively with cross-functional teams.



Use this space to promote the business, its products or its services. Help people become familiar with the business and its offerings, creating a sense of connection and trust. Focus on what makes the business unique and how users can benefit from choosing it.

Join Us

First Name*

Last Name*

Phone*

Email Address*

Position*

Why do you want to work at Hungry Workhorse?*

LinkedIn Profile

GitHub Profile (If Applicable)

Please send your cv at info@hungryworkhorse.com

Hungry Workhorse is a Philippine-based digital and business transformation company that helps organizations adapt to the evolving digital economy.

Quick Links

Services



Articles

Careers

Privacy Policy

Contact

info@hungryworkhorse.com

Commercenter Alabang, Muntinlupa City, Philippines

© 2025 Hungry Workhorse Consultancy Inc."
https://ph.linkedin.com/jobs/view/front-end-web-developer-at-proweaver-ph-4300740822?position=9&pageNum=0&refId=3esTCxInju%2BC%2BDZ6Cp7Nyg%3D%3D&trackingId=Dtp7jS%2FIb5QIqrSgcSh9xA%3D%3D,Front-End Web Developer,Proweaver PH,Talisay,"A Front-End Web Developer will convert graphic designs into responsive web pages using HTML, CSS, and media queries while addressing client feedback to refine and enhance projects.









Additional Information



Qualified applicants will be contacted through text, call, or email by our Recruitment Team."
https://ph.linkedin.com/jobs/view/front-end-developer-at-lightweight-solutions-4160100108?position=10&pageNum=0&refId=3esTCxInju%2BC%2BDZ6Cp7Nyg%3D%3D&trackingId=xKPpKxCofkBOm%2F0sOYjcDQ%3D%3D,Front End Developer,Lightweight Solutions,Quezon City,"Description

Is coding your passion? Do you want to build innovations that can change the world?

If you’re a Front-End Developer, then Lightweight Solutions is looking for you!

Front-End Developers are the architects of software development! If coding is your passion and you’re looking to join a team where you create world-changing innovations, then come join us!

Key Responsibilities



Job Requirements"
