url,title,company,location,description
https://ph.linkedin.com/jobs/view/fullstack-developer-at-questronix-corporation-4306417117?position=41&pageNum=0&refId=WgkpDfTSrvob20IzoJUEvw%3D%3D&trackingId=o78Wpn5xW6tYfCIQ1%2FXYKA%3D%3D,Fullstack Developer,Questronix Corporation,Pasig,"Job Description

Work with development teams and product managers to ideate software solutions




Minimum Qualifications:"
https://ph.linkedin.com/jobs/view/full-stack-developer-at-emerson-4257979433?position=42&pageNum=0&refId=WgkpDfTSrvob20IzoJUEvw%3D%3D&trackingId=EUxJ2GMgekTMVGIXIuoa5w%3D%3D,Full Stack Developer,Emerson,Mandaluyong,"Job Description

Emerson’s 130+ years of history have been filled with achievements and challenges that have driven innovative thinking and bold transformations, molding us into the company we are today. By joining us as a , you will collaborate closely with designers, product owners, and fellow developers to bring ideas to life. This role is ideal for someone who enjoys building high-quality applications end-to-end, is passionate about clean code and performance, and brings a positive attitude and strong team spirit.

If this sounds like a perfect fit for you, apply now and join our team in Mandaluyong City, Philippines!







You are passionate about technology and are highly skilled in creating the overall technical vision for a specific solution to a business problem. You are responsible for designing, describing, and managing the solution. You can proficiently communicate ideas and build positive relationships with customers at all levels.











At Emerson, we prioritize a workplace where every employee is valued, respected, and empowered to grow. We foster an environment that encourages innovation, collaboration, and diverse perspectives—because we know that great ideas come from great teams. Our commitment to ongoing career development and growing an inclusive culture ensures you have the support to thrive. Whether through mentorship, training, or leadership opportunities, we invest in your success so you can make a lasting impact. We believe diverse teams, working together are key to driving growth and delivering business results.

We recognize the importance of employee wellbeing. We prioritize providing competitive benefits plans, a variety of medical insurance plans, Employee Assistance Program, employee resource groups, recognition, and much more. Our culture offers flexible time off plans, including paid parental leave (maternal and paternal), vacation, and holiday leave.







At Emerson, we are motivated by a spirit of collaboration that helps our diverse, multicultural teams across the world drive innovation that makes the world healthier, safer, smarter, and more sustainable. And we want you to join us in our bold aspiration.

We have built an engaged community of inquisitive, dedicated people who thrive knowing they are welcomed, trusted, celebrated, and empowered to solve the world’s most complex problems — for our customers, our communities, and the planet. You’ll contribute to this vital work while further developing your skills through our award-winning employee development programs. We are a proud corporate citizen in every city where we operate and are committed to our people, our communities, and the world at large. We take this responsibility seriously and strive to make a positive impact through every endeavor.

At Emerson, you’ll see firsthand that our people are at the center of everything we do. So, let’s go. Let’s think differently. Learn, collaborate, and grow. Seek opportunity. Push boundaries. Be empowered to make things better. Speed up to break through. Let’s go, together.



If you have a disability and are having difficulty accessing or using this website to apply for a position, please contact: idisability.administrator@emerson.com .



Emerson is a global leader in automation technology and software. Through our deep domain expertise and legacy of flawless execution, Emerson helps customers in critical industries like life sciences, energy, power and renewables, chemical and advanced factory automation operate more sustainably while improving productivity, energy security and reliability.

With global operations and a comprehensive portfolio of software and technology, we are helping companies implement digital transformation to measurably improve their operations, conserve valuable resources and enhance their safety.

We offer equitable opportunities, celebrate diversity, and embrace challenges with confidence that, together, we can make an impact across a broad spectrum of countries and industries. Whether you’re an established professional looking for a career change, an undergraduate student exploring possibilities, or a recent graduate with an advanced degree, you’ll find your chance to make a difference with Emerson. Join our team – let’s go!"
https://ph.linkedin.com/jobs/view/software-engineer-backend-at-applause-4294885706?position=43&pageNum=0&refId=WgkpDfTSrvob20IzoJUEvw%3D%3D&trackingId=AzpPC29ry24gy9FwXX3vIQ%3D%3D,Software Engineer (Backend),Applause,Philippines,"About Applause

Applause is a SaaS start-up founded by experienced entrepreneurs and backed by the best VCs in Silicon Slopes. We're focused on helping companies supercharge their team's performance so they can win more lifelong customers. Learn more about our company and culture here: https://applausehq.com/aboutus

: The purpose of this role is to work directly with our lead developer/co-founder to implement backend features and functionality. This developer will excel at taking clear requirements and directions, then translating them into high-quality, well-tested code that follows established conventions and patterns. Success in this role means consistently delivering features that work correctly the first time and integrate seamlessly with our existing systems.



The Software Engineer (BE) will work closely with our lead developer/co-founder, implementing backend features based on clear specifications and requirements. This role is perfect for a detail-oriented developer who thrives on following established patterns and producing reliable, well-tested code.













100% remote with no office mandate | Earned PTO | 22 official company holidays | HMO on Day 1 | Amazing colleagues | Energetic culture that is positive and celebrates together | Inspiring mission & software product | Ability to grow your career by being early in a fast-growing tech startup | Ability to ship a lot of new features and make a real impact"
https://ph.linkedin.com/jobs/view/ai-backend-developer-node-laravel-at-offshorly-mobile-first-websites-enterprise-solutions-digital-outsourcing-4316441404?position=44&pageNum=0&refId=WgkpDfTSrvob20IzoJUEvw%3D%3D&trackingId=zVJO6LRjSMLsj4vQZhy8%2FA%3D%3D,AI Backend Developer (Node/Laravel),Offshorly - Mobile First Websites | Enterprise Solutions | Digital Outsourcing,Philippines,"This is a remote position.
Location: Remote | Type: Full-time
We’re looking for a developer experienced in Node.js and Laravel to support an AI project. You’ll work on backend sy













stems, automation, and audio processing integrations using modern cloud tools.


Benefits


Benefits"
https://ph.linkedin.com/jobs/view/ai-developer-php-laravel-backend-at-offshorly-mobile-first-websites-enterprise-solutions-digital-outsourcing-4192433970?position=45&pageNum=0&refId=WgkpDfTSrvob20IzoJUEvw%3D%3D&trackingId=MOcl3J7SmhfT8PN3gfWBag%3D%3D,AI Developer (PHP/Laravel Backend),Offshorly - Mobile First Websites | Enterprise Solutions | Digital Outsourcing,Marikina,
https://ph.linkedin.com/jobs/view/full-stack-developer-nodejs-vuejs-at-white-cloak-technologies-inc-4308596017?position=46&pageNum=0&refId=WgkpDfTSrvob20IzoJUEvw%3D%3D&trackingId=u%2BnWP5jxv%2BuLVb2ColkIMg%3D%3D,Full Stack Developer (NodeJS & VueJS),"White Cloak Technologies, Inc.",Quezon City,"Job Summary

As a Full Stack Developer at White Cloak Technologies, you will be responsible for developing and maintaining web and mobile applications from front-end to back-end. Youll work closely with designers, product managers, and other developers to create seamless and responsive digital experiences. This role demands strong technical skills, attention to detail, and a collaborative mindset."
https://ph.linkedin.com/jobs/view/backend-engineer-at-maya-4298194444?position=47&pageNum=0&refId=WgkpDfTSrvob20IzoJUEvw%3D%3D&trackingId=2%2FQl3sFSMwe65S9jGJLW5A%3D%3D,Backend Engineer,Maya,Manila,"MAdTech & Communications

Our Mission

Our goal is for everyone to make bolder choices with their finances.

To get there, we're creating an all-in-one ecosystem of financial services for today's generation of goal-getters. That feat takes extraordinary people-those with the guts to challenge the way things are and transform them into something better.

To be part of Team Maya is to be







As a Software Engineer on the Personalization Platform team, you’ll join a cross-functional engineering squad working on real-time, AI- and ML-powered features across mobile and backend. You will be involved in all stages of the product, from shaping its vision to building and delivering it for Maya’s users.

Your work will improve features that millions of users in the Philippines and beyond rely on every day.











Maya is the all-in-one money platform that is bringing Filipinos bolder ways to master their money. It is powered by a unique integrated financial services ecosystem that addresses the ever-evolving needs of today’s generation of money makers through cutting edge technology.

We lead millions of Filipinos — consumers, businesses, communities, and government agencies alike — into a version of the current digital economy that’s more inclusive, transparent, and empowering than ever.

We are powered by the country's only end-to-end digital payments company Maya Philippines, Inc. and Maya Bank, Inc. for digital banking services.

Maya Bank, Inc. and Maya Philippines, Inc. are regulated by the Bangko Sentral ng Pilipinas. https://www.bsp.gov.ph/"
https://ph.linkedin.com/jobs/view/full-stack-developer-at-sgv-co-4306356315?position=48&pageNum=0&refId=WgkpDfTSrvob20IzoJUEvw%3D%3D&trackingId=reuVW07lp%2BKHsUQvYjSNgw%3D%3D,Full Stack Developer,SGV & Co.,Makati,
https://ph.linkedin.com/jobs/view/mid-level-backend-net-developer-remote-at-cashjar-com-4305825580?position=49&pageNum=0&refId=WgkpDfTSrvob20IzoJUEvw%3D%3D&trackingId=k8Q406XDRlknJ9C%2FCEEoHw%3D%3D,Mid-level Backend .NET Developer (Remote),CashJar.com,Metro Manila,"About Us

At OutsideHire, we're at the forefront of innovation, specializing in building cutting-edge FinTech solutions. Our mission is to create secure, efficient, and user-friendly financial software that makes a real impact. We're a fast-paced, collaborative, and forward-thinking team that thrives on solving complex problems."
https://ph.linkedin.com/jobs/view/senior-backend-engineer-at-umpisa-inc-4261343477?position=50&pageNum=0&refId=WgkpDfTSrvob20IzoJUEvw%3D%3D&trackingId=m9QoL8RTFq4LleJVuoebEw%3D%3D,Senior Backend Engineer,Umpisa Inc,Philippines,"Who Were Looking For

You're the rare talent who excels in API integrations, data orchestration, and backend engineering. Your passion lies in constructing robust data pipelines, devising innovative ways to extract insights from diverse sources, and unifying massive datasets.

You'll have to familiarize yourself with rate limiting of APIs, caching between the steps in the pipeline, message queues and anything else that will help you get data from point A to point B. Whatever architecture, pipeline or business logic is necessary to do so is going to be your responsibility.

At Umpisa Inc., our mission is to make the Philippines be known globally as a tech hub.

Umpisa Inc. is a progressive technology services company that partners with select industries, clients and people to work on pioneering and industry-changing solutions via digital transformation, modern software development and venture building.

We create a set of world-class and impactful products and solutions to help organizations and individuals live better lives. We offer demanding, challenging and rewarding careers in software development, product development, emerging technologies, and more for the right candidates."
